Index Title,Genesis
Version Title,"תנ""ך לטריס איבערזעצט אין א ריינעם מאדערנעם אידיש לויט די נייע און אלטע מפרשים [YI]"
Language,he
Version Source,https://hebrewbooks.org/44090
Version Notes,
Genesis 1:1,אין אנפאנג האט גאט בעשאפען דעם הימעל און די ערד.
Genesis 1:2,"און די ערד איז געוועזען וויסט און לעעהר, און פינסטערניס (איז געוועזען) אויף דעם אבגרונד, און דער גייסט פון גאט האט געשוועבט איבער דעם וואסער."
Genesis 1:3,און גאט האט געזאגט: עס זאל זיין ליכט! און עס איז געווארען ליכט.
Genesis 1:4,"און גאט האט געזעהען דאס ליכט אז עס איז גוט, און גאט האט געמאכט א צווישענשייד צווישען דעם ליכט און צווישען דער פינסטערניס."
Genesis 1:5,"און גאט האט גערופען דאס ליכט טאג, און די פינסטערניס האט ער גערופען נאכט; און עס איז געוועזען אבענד און עס איז געוועזען מארגען - איין טאג."
Genesis 1:6,"און גאט האט געזאגט: עס זאל זיין א אויסשפרייטונג אין מיטען (פון) דער וואסער, און עס זאל זיין א צווישענשייד צווישען וואסער און וואסער."
Genesis 1:7,"און גאט האט געמאכט די אויסשפרייטונג, און ער האט געמאכט א צווישענשייד צווישען דעם וואסער וואס איז אונטער דער אויסשפרייטונג, און צווישען דעם וואסער וואס איז איבער דער אויסשפרייטונג; און עס איז אזוי געוועזען."
Genesis 1:8,און גאט האט גערופען די אויסשפרייטונג הימעל; און עס איז געוועזען אבענד און עס איז געוועזען מארגען - דער צווייטער טאג.
Genesis 1:9,און גאט האט געזאגט: דאס וואסער זאל זיך זאמלען אונטער דעם הימעל אין איין ארט און דאס טרוקעניש זאל געזעהען ווערען. און עס איז אזוי געוועזען.
Genesis 1:10,"און גאט האט גערופען דאס טרוקענע ערד, און די זאמלונגען פון וואסער האט ער גערופען ימים. און גאט האט געזעהען אז עס איז גוט."
Genesis 1:11,"און גאט האט געזאגט: די ערד זאל לאזען ארויסוואקסען גרינעם גראז, וואס מאכט זוימען, א פרוכטבוים וואם גיט פרוכט נאך זיין ארט, וואס זיינע זוימען איז אין איהם אויף דער ערד. און עס איז אזוי געוועזען."
Genesis 1:12,"און די ערד האט ארויסגעבראכט גרינעם גראז וואס מאכט זוימען נאך זיין ארט, און א בוים וואם גיט ארויס פרוכט, וואס זיינע זוימען איז נאך זיין ארט, און גאט האט געזעהען אז עס איז גוט."
Genesis 1:13,און עס איז געוועזען אבענד און עס איז געוועזען מארגען - דער דריטער טאג.
Genesis 1:14,"און גאט האט געזאגט: עס זאל זיין ליכט אין דער אויסשפרייטונג פון דעם הימעל, צו מאכען אן אונטערשיעד צווישען דעם טאג און צווישען דער נאכט, און זיי זאלען זיין צו צייכענס און צו צייטען, צו טעג און צו יאהרען."
Genesis 1:15,"און זיי זאלען זיין אלס ליכט אין דער אויסשפרייטונג פון דעם הימעל, צו לייכטען אויף דער ערד. און עס איז אזוי געוועזען."
Genesis 1:16,"און גאט האט געמאכט די צוויי גרויסע ליכט, דאס גרעסערע ליכט צו געוועלטיגען ביי טאג, און דאס קלענערע ליכט צו געוועלטיגען ביי נאכט, אויך די שטערען."
Genesis 1:17,און גאט האט זיי אריינגעזעצט אין דער אויסשפרייטונג פון דעם הימעל צו לייכטען אויף דער ערד.
Genesis 1:18,"און צו געוועלטיגען ביי טאג און ביי נאכט, און צו מאכען א צווישענשייד צווישען דעם ליכט און צווישען דער פינסטערניס, און גאט האט געזעהען אז עס איז גוט."
Genesis 1:19,און עס איז געוועזען אבענד און עס איז געוועזען מארגען - דער פערטער טאג.
